id,booking_id,rating,comment,created_at,updated_at
50,138,5,"Được tư vấn kỹ trước khi làm, tôi thấy an tâm.",2026-05-31 00:30:00,2026-05-31 20:30:00
51,141,5,Nhân viên nhớ sở thích của tôi từ lần trước.,2026-08-14 20:42:00,2026-08-17 03:42:00
52,143,5,"Không gian yên tĩnh, đúng phòng tôi đã đặt.",2026-06-17 22:50:00,2026-06-18 10:50:00
53,144,2,Dịch vụ tạm ổn nhưng chưa đúng kỳ vọng về thời lượng.,2026-07-17 02:01:00,2026-07-17 05:01:00
54,145,4,"Massage lực vừa phải, đúng như tôi yêu cầu.",2026-07-24 04:15:00,2026-07-25 09:15:00
55,146,4,"Đặt lịch nhanh, lễ tân nhắc lịch trước khi đến.",2026-07-24 10:12:00,2026-07-26 16:12:00
56,147,4,"Phòng sạch, mùi tinh dầu dễ chịu.",2026-09-01 18:00:00,2026-09-03 15:00:00
57,149,5,"Rất hài lòng, kỹ thuật viên chuyên nghiệp và chu đáo.",2026-08-30 02:08:00,2026-08-30 09:08:00
58,150,3,Giá hợp lý so với chất lượng nhận được.,2026-09-03 08:14:00,2026-09-03 15:14:00
59,152,3,"Nhân viên thân thiện, mong cải thiện phần tư vấn sau dịch vụ.",2026-06-06 08:31:00,2026-06-06 14:31:00
60,155,5,"Đá nóng rất dễ chịu, cổ vai gáy đỡ hẳn.",2026-06-03 19:43:00,2026-06-04 17:43:00
61,157,4,"Khá hài lòng, kỹ thuật viên làm kỹ và đúng giờ.",2026-08-29 02:45:00,2026-08-31 12:45:00
62,159,5,Trà thảo mộc sau dịch vụ là điểm cộng.,2026-09-07 21:36:00,2026-09-07 23:36:00
63,163,5,Nhân viên nhớ sở thích của tôi từ lần trước.,2026-07-15 04:32:00,2026-07-17 10:32:00
64,165,5,"Được tư vấn kỹ trước khi làm, tôi thấy an tâm.",2026-06-23 02:15:00,2026-06-24 19:15:00
65,167,5,"Không gian yên tĩnh, đúng phòng tôi đã đặt.",2026-09-09 19:06:00,2026-09-10 23:06:00
66,168,1,Định dạng lại: sẽ cân nhắc khi quay lại.,2026-07-16 08:00:00,2026-07-16 17:00:00
67,173,5,"Rất hài lòng, kỹ thuật viên chuyên nghiệp và chu đáo.",2026-08-25 22:34:00,2026-08-28 07:34:00
68,174,3,"Dịch vụ ổn, nhưng khu vực chờ hơi chật.",2026-07-06 17:14:00,2026-07-08 23:14:00
69,175,5,"Đá nóng rất dễ chịu, cổ vai gáy đỡ hẳn.",2026-06-22 03:44:00,2026-06-22 18:44:00
70,179,4,"Massage lực vừa phải, đúng như tôi yêu cầu.",2026-09-02 02:26:00,2026-09-03 05:26:00
71,187,4,"Đặt lịch nhanh, lễ tân nhắc lịch trước khi đến.",2026-06-20 22:42:00,2026-06-23 03:42:00
72,189,3,Giá hợp lý so với chất lượng nhận được.,2026-08-11 20:13:00,2026-08-12 19:13:00
73,190,5,Nhân viên nhớ sở thích của tôi từ lần trước.,2026-07-10 19:00:00,2026-07-11 20:00:00
74,191,5,"Rất hài lòng, kỹ thuật viên chuyên nghiệp và chu đáo.",2026-06-03 20:30:00,2026-06-04 19:30:00
75,193,4,"Dịch vụ tốt, tôi sẽ giới thiệu cho bạn bè.",2026-05-31 15:43:00,2026-06-02 18:43:00
76,194,5,"Không gian yên tĩnh, đúng phòng tôi đã đặt.",2026-09-05 17:49:00,2026-09-07 12:49:00
77,197,5,Trà thảo mộc sau dịch vụ là điểm cộng.,2026-08-08 06:29:00,2026-08-08 22:29:00
78,201,3,"Nhân viên thân thiện, mong cải thiện phần tư vấn sau dịch vụ.",2026-09-10 18:32:00,2026-09-11 01:32:00
79,202,5,"Được tư vấn kỹ trước khi làm, tôi thấy an tâm.",2026-07-07 03:16:00,2026-07-07 11:16:00
80,203,5,"Đá nóng rất dễ chịu, cổ vai gáy đỡ hẳn.",2026-08-13 10:31:00,2026-08-14 17:31:00
81,207,3,"Trải nghiệm ở mức bình thường, không có gì nổi bật.",2026-06-05 08:59:00,2026-06-05 22:59:00
82,208,4,"Phòng sạch, mùi tinh dầu dễ chịu.",2026-08-16 05:46:00,2026-08-16 16:46:00
83,214,4,"Khá hài lòng, kỹ thuật viên làm kỹ và đúng giờ.",2026-06-11 15:34:00,2026-06-13 10:34:00
84,215,5,Nhân viên nhớ sở thích của tôi từ lần trước.,2026-08-18 21:04:00,2026-08-20 11:04:00
85,220,3,"Dịch vụ ổn, nhưng khu vực chờ hơi chật.",2026-06-28 13:57:00,2026-06-29 00:57:00
86,221,5,"Rất hài lòng, kỹ thuật viên chuyên nghiệp và chu đáo.",2026-07-03 02:45:00,2026-07-04 13:45:00
87,229,4,"Massage lực vừa phải, đúng như tôi yêu cầu.",2026-06-18 12:58:00,2026-06-19 20:58:00
88,233,5,"Đá nóng rất dễ chịu, cổ vai gáy đỡ hẳn.",2026-08-27 08:05:00,2026-08-27 12:05:00
89,234,4,"Dịch vụ tốt, tôi sẽ giới thiệu cho bạn bè.",2026-09-07 02:26:00,2026-09-08 12:26:00
90,236,3,"Trải nghiệm ở mức bình thường, không có gì nổi bật.",2026-06-24 22:04:00,2026-06-27 10:04:00
91,237,4,"Đặt lịch nhanh, lễ tân nhắc lịch trước khi đến.",2026-07-15 15:17:00,2026-07-16 05:17:00
92,249,4,"Khá hài lòng, kỹ thuật viên làm kỹ và đúng giờ.",2026-06-17 09:46:00,2026-06-18 16:46:00
93,253,4,"Phòng sạch, mùi tinh dầu dễ chịu.",2026-06-17 22:11:00,2026-06-18 07:11:00
94,255,5,"Không gian yên tĩnh, đúng phòng tôi đã đặt.",2026-08-14 21:59:00,2026-08-16 22:59:00
95,256,5,"Được tư vấn kỹ trước khi làm, tôi thấy an tâm.",2026-07-28 20:34:00,2026-07-29 18:34:00
96,262,4,"Massage lực vừa phải, đúng như tôi yêu cầu.",2026-08-28 15:56:00,2026-08-29 17:56:00
97,264,5,Trà thảo mộc sau dịch vụ là điểm cộng.,2026-08-02 05:22:00,2026-08-03 13:22:00
98,271,3,"Nhân viên thân thiện, mong cải thiện phần tư vấn sau dịch vụ.",2026-08-12 19:37:00,2026-08-13 04:37:00
99,272,4,"Khá hài lòng, kỹ thuật viên làm kỹ và đúng giờ.",2026-08-28 17:26:00,2026-08-29 08:26:00
100,273,4,"Phòng sạch, mùi tinh dầu dễ chịu.",2026-08-12 23:46:00,2026-08-14 22:46:00
101,278,4,"Đặt lịch nhanh, lễ tân nhắc lịch trước khi đến.",2026-08-15 09:35:00,2026-08-17 10:35:00
102,280,5,Nhân viên nhớ sở thích của tôi từ lần trước.,2026-06-19 06:19:00,2026-06-20 21:19:00
103,281,5,"Không gian yên tĩnh, đúng phòng tôi đã đặt.",2026-08-27 00:44:00,2026-08-27 09:44:00
104,284,5,"Rất hài lòng, kỹ thuật viên chuyên nghiệp và chu đáo.",2026-07-03 09:47:00,2026-07-05 18:47:00
105,289,5,"Được tư vấn kỹ trước khi làm, tôi thấy an tâm.",2026-07-22 08:13:00,2026-07-23 03:13:00
106,290,4,"Dịch vụ tốt, tôi sẽ giới thiệu cho bạn bè.",2026-08-08 11:18:00,2026-08-08 13:18:00
107,294,5,"Đá nóng rất dễ chịu, cổ vai gáy đỡ hẳn.",2026-07-11 19:34:00,2026-07-13 23:34:00
108,295,4,"Khá hài lòng, kỹ thuật viên làm kỹ và đúng giờ.",2026-07-04 20:16:00,2026-07-05 13:16:00
109,296,5,Trà thảo mộc sau dịch vụ là điểm cộng.,2026-06-07 00:01:00,2026-06-09 08:01:00
110,306,4,"Dịch vụ tốt, tôi sẽ giới thiệu cho bạn bè.",2026-06-17 04:16:00,2026-06-19 06:16:00
111,308,4,"Massage lực vừa phải, đúng như tôi yêu cầu.",2026-07-19 17:29:00,2026-07-20 04:29:00
112,316,5,Nhân viên nhớ sở thích của tôi từ lần trước.,2026-06-12 03:06:00,2026-06-14 07:06:00
113,318,4,"Đặt lịch nhanh, lễ tân nhắc lịch trước khi đến.",2026-09-08 23:59:00,2026-09-10 11:59:00
114,324,4,"Phòng sạch, mùi tinh dầu dễ chịu.",2026-08-01 12:56:00,2026-08-03 11:56:00
115,325,5,"Không gian yên tĩnh, đúng phòng tôi đã đặt.",2026-08-12 06:22:00,2026-08-13 16:22:00
116,326,4,"Đặt lịch nhanh, lễ tân nhắc lịch trước khi đến.",2026-07-18 20:46:00,2026-07-20 09:46:00
117,328,5,"Được tư vấn kỹ trước khi làm, tôi thấy an tâm.",2026-08-18 07:41:00,2026-08-18 15:41:00
118,331,3,Giá hợp lý so với chất lượng nhận được.,2026-06-19 02:26:00,2026-06-21 08:26:00
119,337,5,Trà thảo mộc sau dịch vụ là điểm cộng.,2026-09-02 16:57:00,2026-09-04 14:57:00
120,341,4,"Massage lực vừa phải, đúng như tôi yêu cầu.",2026-07-10 03:41:00,2026-07-11 10:41:00
121,342,2,"Tôi bị lạnh trong phòng, xin cải thiện nhiệt độ.",2026-08-13 00:18:00,2026-08-13 01:18:00
122,343,4,"Dịch vụ tốt, tôi sẽ giới thiệu cho bạn bè.",2026-06-07 01:17:00,2026-06-09 11:17:00
123,344,5,"Đá nóng rất dễ chịu, cổ vai gáy đỡ hẳn.",2026-08-11 08:28:00,2026-08-12 09:28:00
124,346,4,"Khá hài lòng, kỹ thuật viên làm kỹ và đúng giờ.",2026-08-21 21:30:00,2026-08-22 13:30:00
125,347,5,"Rất hài lòng, kỹ thuật viên chuyên nghiệp và chu đáo.",2026-08-19 16:51:00,2026-08-20 11:51:00
126,349,5,Trà thảo mộc sau dịch vụ là điểm cộng.,2026-07-23 21:01:00,2026-07-25 06:01:00
127,351,4,"Phòng sạch, mùi tinh dầu dễ chịu.",2026-06-11 12:01:00,2026-06-11 13:01:00
128,355,4,"Khá hài lòng, kỹ thuật viên làm kỹ và đúng giờ.",2026-06-11 04:04:00,2026-06-11 21:04:00
129,359,5,Nhân viên nhớ sở thích của tôi từ lần trước.,2026-07-07 06:56:00,2026-07-07 20:56:00
130,360,1,"Chờ khá lâu so với giờ hẹn, mong spa sắp xếp lại.",2026-06-23 03:01:00,2026-06-23 15:01:00
131,361,5,"Không gian yên tĩnh, đúng phòng tôi đã đặt.",2026-07-13 09:13:00,2026-07-14 20:13:00
132,363,5,"Được tư vấn kỹ trước khi làm, tôi thấy an tâm.",2026-07-11 04:17:00,2026-07-12 14:17:00
133,365,5,"Đá nóng rất dễ chịu, cổ vai gáy đỡ hẳn.",2026-07-11 17:17:00,2026-07-13 05:17:00
134,366,4,"Massage lực vừa phải, đúng như tôi yêu cầu.",2026-09-06 10:31:00,2026-09-06 12:31:00
135,369,5,"Rất hài lòng, kỹ thuật viên chuyên nghiệp và chu đáo.",2026-06-22 20:40:00,2026-06-23 00:40:00
136,370,5,"Đá nóng rất dễ chịu, cổ vai gáy đỡ hẳn.",2026-06-13 09:29:00,2026-06-15 06:29:00
137,373,5,"Không gian yên tĩnh, đúng phòng tôi đã đặt.",2026-09-02 00:59:00,2026-09-02 11:59:00
138,376,5,"Rất hài lòng, kỹ thuật viên chuyên nghiệp và chu đáo.",2026-07-04 04:36:00,2026-07-04 13:36:00
139,378,3,"Dịch vụ ổn, nhưng khu vực chờ hơi chật.",2026-08-05 03:29:00,2026-08-05 14:29:00
140,384,4,"Dịch vụ tốt, tôi sẽ giới thiệu cho bạn bè.",2026-06-01 01:03:00,2026-06-03 08:03:00
141,385,5,"Được tư vấn kỹ trước khi làm, tôi thấy an tâm.",2026-07-10 14:47:00,2026-07-11 16:47:00
142,391,5,Trà thảo mộc sau dịch vụ là điểm cộng.,2026-06-18 20:51:00,2026-06-20 08:51:00
143,392,4,"Đặt lịch nhanh, lễ tân nhắc lịch trước khi đến.",2026-08-27 20:44:00,2026-08-29 03:44:00
144,399,5,Nhân viên nhớ sở thích của tôi từ lần trước.,2026-06-12 01:48:00,2026-06-13 05:48:00
145,402,5,Trà thảo mộc sau dịch vụ là điểm cộng.,2026-07-09 05:40:00,2026-07-11 04:40:00
146,403,4,"Phòng sạch, mùi tinh dầu dễ chịu.",2026-09-10 06:45:00,2026-09-12 05:45:00
147,405,5,"Đá nóng rất dễ chịu, cổ vai gáy đỡ hẳn.",2026-09-02 23:40:00,2026-09-04 15:40:00
148,406,3,"Trải nghiệm ở mức bình thường, không có gì nổi bật.",2026-07-12 08:42:00,2026-07-13 10:42:00
149,411,5,Nhân viên nhớ sở thích của tôi từ lần trước.,2026-07-07 15:20:00,2026-07-09 21:20:00
150,413,4,"Dịch vụ tốt, tôi sẽ giới thiệu cho bạn bè.",2026-06-08 00:42:00,2026-06-09 18:42:00
151,425,5,"Được tư vấn kỹ trước khi làm, tôi thấy an tâm.",2026-07-21 14:21:00,2026-07-21 15:21:00
152,429,5,"Rất hài lòng, kỹ thuật viên chuyên nghiệp và chu đáo.",2026-09-01 14:31:00,2026-09-01 19:31:00
153,430,3,"Nhân viên thân thiện, mong cải thiện phần tư vấn sau dịch vụ.",2026-07-19 03:49:00,2026-07-20 16:49:00
154,431,5,"Không gian yên tĩnh, đúng phòng tôi đã đặt.",2026-07-03 20:43:00,2026-07-05 21:43:00
155,432,3,Giá hợp lý so với chất lượng nhận được.,2026-07-15 08:58:00,2026-07-16 12:58:00
156,435,5,"Đá nóng rất dễ chịu, cổ vai gáy đỡ hẳn.",2026-06-18 03:33:00,2026-06-20 11:33:00
157,437,5,"Rất hài lòng, kỹ thuật viên chuyên nghiệp và chu đáo.",2026-06-16 14:33:00,2026-06-16 16:33:00
158,439,5,Trà thảo mộc sau dịch vụ là điểm cộng.,2026-08-27 05:46:00,2026-08-29 16:46:00
159,440,5,"Được tư vấn kỹ trước khi làm, tôi thấy an tâm.",2026-07-22 23:17:00,2026-07-24 03:17:00
160,441,4,"Khá hài lòng, kỹ thuật viên làm kỹ và đúng giờ.",2026-06-06 05:27:00,2026-06-08 16:27:00
161,447,5,"Không gian yên tĩnh, đúng phòng tôi đã đặt.",2026-08-01 02:34:00,2026-08-01 09:34:00
162,449,4,"Phòng sạch, mùi tinh dầu dễ chịu.",2026-06-17 07:40:00,2026-06-18 04:40:00
163,452,3,"Dịch vụ ổn, nhưng khu vực chờ hơi chật.",2026-05-29 21:22:00,2026-05-31 00:22:00
164,456,5,Nhân viên nhớ sở thích của tôi từ lần trước.,2026-05-29 14:01:00,2026-05-31 12:01:00
165,461,3,Giá hợp lý so với chất lượng nhận được.,2026-06-26 01:32:00,2026-06-26 18:32:00
166,462,5,"Đá nóng rất dễ chịu, cổ vai gáy đỡ hẳn.",2026-09-08 20:31:00,2026-09-09 19:31:00
167,463,3,"Trải nghiệm ở mức bình thường, không có gì nổi bật.",2026-09-03 22:14:00,2026-09-05 00:14:00
168,470,5,Nhân viên nhớ sở thích của tôi từ lần trước.,2026-07-18 03:43:00,2026-07-20 04:43:00
169,471,4,"Massage lực vừa phải, đúng như tôi yêu cầu.",2026-06-12 10:36:00,2026-06-14 13:36:00
170,472,2,Dịch vụ tạm ổn nhưng chưa đúng kỳ vọng về thời lượng.,2026-08-22 12:26:00,2026-08-23 07:26:00
171,473,5,"Rất hài lòng, kỹ thuật viên chuyên nghiệp và chu đáo.",2026-08-09 08:01:00,2026-08-11 09:01:00
172,478,3,"Nhân viên thân thiện, mong cải thiện phần tư vấn sau dịch vụ.",2026-08-07 15:43:00,2026-08-08 02:43:00
173,479,5,"Không gian yên tĩnh, đúng phòng tôi đã đặt.",2026-07-03 15:32:00,2026-07-04 15:32:00
174,481,4,"Đặt lịch nhanh, lễ tân nhắc lịch trước khi đến.",2026-06-03 01:45:00,2026-06-04 18:45:00
175,484,5,Trà thảo mộc sau dịch vụ là điểm cộng.,2026-06-07 15:02:00,2026-06-07 22:02:00
176,486,5,"Được tư vấn kỹ trước khi làm, tôi thấy an tâm.",2026-07-23 22:11:00,2026-07-25 02:11:00
177,491,1,Kỹ thuật viên đến muộn và phải rút ngắn thời gian.,2026-06-17 11:22:00,2026-06-19 20:22:00
178,494,3,"Dịch vụ ổn, nhưng khu vực chờ hơi chật.",2026-07-24 18:28:00,2026-07-25 14:28:00
179,495,2,"Tôi bị lạnh trong phòng, xin cải thiện nhiệt độ.",2026-08-27 06:34:00,2026-08-28 11:34:00
180,496,5,Trà thảo mộc sau dịch vụ là điểm cộng.,2026-07-16 22:50:00,2026-07-17 14:50:00
181,500,4,"Khá hài lòng, kỹ thuật viên làm kỹ và đúng giờ.",2026-07-05 15:15:00,2026-07-06 10:15:00
182,502,5,"Đá nóng rất dễ chịu, cổ vai gáy đỡ hẳn.",2026-05-29 09:27:00,2026-05-30 17:27:00
183,504,5,"Không gian yên tĩnh, đúng phòng tôi đã đặt.",2026-06-17 04:11:00,2026-06-19 10:11:00
184,508,5,"Rất hài lòng, kỹ thuật viên chuyên nghiệp và chu đáo.",2026-07-02 19:57:00,2026-07-03 00:57:00
185,510,2,Chưa được hỏi về lực massage phù hợp.,2026-08-02 12:03:00,2026-08-04 07:03:00
186,512,4,"Dịch vụ tốt, tôi sẽ giới thiệu cho bạn bè.",2026-06-19 09:43:00,2026-06-20 16:43:00
187,513,4,"Đặt lịch nhanh, lễ tân nhắc lịch trước khi đến.",2026-08-20 22:00:00,2026-08-22 00:00:00
188,515,5,Nhân viên nhớ sở thích của tôi từ lần trước.,2026-08-20 14:31:00,2026-08-21 19:31:00
189,516,5,"Được tư vấn kỹ trước khi làm, tôi thấy an tâm.",2026-07-13 06:49:00,2026-07-13 07:49:00
190,518,4,"Massage lực vừa phải, đúng như tôi yêu cầu.",2026-06-27 06:36:00,2026-06-27 14:36:00
191,521,5,"Đá nóng rất dễ chịu, cổ vai gáy đỡ hẳn.",2026-08-04 12:56:00,2026-08-05 19:56:00
192,525,4,"Phòng sạch, mùi tinh dầu dễ chịu.",2026-08-22 09:33:00,2026-08-23 15:33:00
193,526,3,Giá hợp lý so với chất lượng nhận được.,2026-06-07 10:00:00,2026-06-07 13:00:00
194,527,5,Nhân viên nhớ sở thích của tôi từ lần trước.,2026-09-01 20:26:00,2026-09-02 07:26:00
195,540,2,Không gian đẹp nhưng lễ tân xác nhận lịch còn chậm.,2026-08-04 15:12:00,2026-08-05 05:12:00
196,541,5,"Rất hài lòng, kỹ thuật viên chuyên nghiệp và chu đáo.",2026-08-30 00:50:00,2026-08-31 17:50:00
197,543,3,"Nhân viên thân thiện, mong cải thiện phần tư vấn sau dịch vụ.",2026-08-03 22:16:00,2026-08-04 04:16:00
198,544,5,Trà thảo mộc sau dịch vụ là điểm cộng.,2026-06-12 20:28:00,2026-06-14 17:28:00
199,545,5,"Không gian yên tĩnh, đúng phòng tôi đã đặt.",2026-08-22 03:03:00,2026-08-23 00:03:00
200,547,3,"Trải nghiệm ở mức bình thường, không có gì nổi bật.",2026-08-27 16:07:00,2026-08-28 04:07:00
201,557,4,"Đặt lịch nhanh, lễ tân nhắc lịch trước khi đến.",2026-07-20 03:06:00,2026-07-22 03:06:00
202,558,4,"Phòng sạch, mùi tinh dầu dễ chịu.",2026-08-29 15:23:00,2026-08-30 02:23:00
203,559,4,"Massage lực vừa phải, đúng như tôi yêu cầu.",2026-08-20 11:16:00,2026-08-21 19:16:00
204,560,4,"Khá hài lòng, kỹ thuật viên làm kỹ và đúng giờ.",2026-07-30 22:46:00,2026-07-31 21:46:00
205,566,4,"Dịch vụ tốt, tôi sẽ giới thiệu cho bạn bè.",2026-08-09 04:02:00,2026-08-10 16:02:00
206,570,4,"Phòng sạch, mùi tinh dầu dễ chịu.",2026-08-13 16:55:00,2026-08-15 15:55:00
207,575,2,"Tôi bị lạnh trong phòng, xin cải thiện nhiệt độ.",2026-07-08 16:49:00,2026-07-10 05:49:00
208,576,5,"Được tư vấn kỹ trước khi làm, tôi thấy an tâm.",2026-07-04 23:15:00,2026-07-05 20:15:00
209,581,4,"Đặt lịch nhanh, lễ tân nhắc lịch trước khi đến.",2026-08-20 23:04:00,2026-08-22 05:04:00
210,582,1,"Phòng hơi ồn, tôi không thư giãn được.",2026-06-21 12:20:00,2026-06-22 09:20:00
211,584,3,"Dịch vụ ổn, nhưng khu vực chờ hơi chật.",2026-06-20 10:30:00,2026-06-21 21:30:00
212,587,3,"Nhân viên thân thiện, mong cải thiện phần tư vấn sau dịch vụ.",2026-08-16 22:28:00,2026-08-18 08:28:00
213,591,5,"Không gian yên tĩnh, đúng phòng tôi đã đặt.",2026-06-06 06:48:00,2026-06-06 14:48:00
214,596,5,Trà thảo mộc sau dịch vụ là điểm cộng.,2026-08-01 17:17:00,2026-08-02 19:17:00
215,597,5,"Rất hài lòng, kỹ thuật viên chuyên nghiệp và chu đáo.",2026-06-24 12:49:00,2026-06-25 06:49:00
