id,booking_id,service_id,service_name_snapshot,duration_minutes,base_price_snapshot,additional_duration_steps,price_per_step_snapshot,line_amount,created_at
74,68,5,Aromatherapy Massage,120,520000,2,200000,920000,2026-07-28 15:30:00
75,69,6,Hot Stone Massage,90,650000,0,0,650000,2026-07-10 15:30:00
76,70,1,Facial Basic Care,90,350000,1,120000,470000,2026-05-30 03:00:00
77,71,9,Body Detox Wrap,75,580000,0,0,580000,2026-06-29 09:30:00
78,72,3,Hydrating Facial,90,520000,1,150000,670000,2026-06-20 03:00:00
79,73,1,Facial Basic Care,60,350000,0,120000,350000,2026-08-18 04:00:00
80,74,1,Facial Basic Care,60,350000,0,120000,350000,2026-06-03 12:30:00
81,75,10,Foot Relaxation,60,250000,1,80000,330000,2026-06-03 11:30:00
82,76,10,Foot Relaxation,60,250000,1,80000,330000,2026-08-21 13:30:00
83,77,4,Relaxing Body Massage,120,450000,2,180000,810000,2026-06-12 13:30:00
84,78,5,Aromatherapy Massage,60,520000,0,200000,520000,2026-08-27 07:00:00
85,79,9,Body Detox Wrap,75,580000,0,0,580000,2026-07-05 06:00:00
86,80,10,Foot Relaxation,45,250000,0,80000,250000,2026-08-08 06:00:00
87,81,8,Body Scrub,60,420000,0,0,420000,2026-07-15 13:30:00
88,82,8,Body Scrub,60,420000,0,0,420000,2026-05-31 12:30:00
89,83,11,Premium Facial Renewal,90,850000,0,0,850000,2026-07-22 04:00:00
90,84,10,Foot Relaxation,60,250000,1,80000,330000,2026-06-20 09:30:00
91,85,9,Body Detox Wrap,75,580000,0,0,580000,2026-06-18 11:30:00
92,86,5,Aromatherapy Massage,60,520000,0,200000,520000,2026-08-09 06:00:00
93,87,3,Hydrating Facial,60,520000,0,150000,520000,2026-08-23 12:30:00
94,88,9,Body Detox Wrap,75,580000,0,0,580000,2026-05-31 12:30:00
95,89,6,Hot Stone Massage,90,650000,0,0,650000,2026-08-26 08:00:00
96,90,8,Body Scrub,60,420000,0,0,420000,2026-06-14 07:00:00
97,91,3,Hydrating Facial,90,520000,1,150000,670000,2026-06-11 14:30:00
98,92,10,Foot Relaxation,60,250000,1,80000,330000,2026-07-12 07:00:00
99,93,10,Foot Relaxation,75,250000,2,80000,410000,2026-07-11 11:30:00
100,94,1,Facial Basic Care,60,350000,0,120000,350000,2026-07-20 11:30:00
101,95,8,Body Scrub,60,420000,0,0,420000,2026-05-29 12:30:00
102,96,5,Aromatherapy Massage,90,520000,1,200000,720000,2026-06-18 07:30:00
103,97,1,Facial Basic Care,60,350000,0,120000,350000,2026-08-27 09:30:00
104,98,3,Hydrating Facial,90,520000,1,150000,670000,2026-06-18 06:00:00
105,99,11,Premium Facial Renewal,90,850000,0,0,850000,2026-08-11 09:30:00
106,100,4,Relaxing Body Massage,120,450000,2,180000,810000,2026-08-08 13:30:00
107,101,5,Aromatherapy Massage,60,520000,0,200000,520000,2026-07-15 13:30:00
108,102,10,Foot Relaxation,45,250000,0,80000,250000,2026-07-19 13:30:00
109,102,2,Deep Cleansing Facial,75,480000,0,0,480000,2026-07-19 13:30:00
110,103,7,Head & Shoulder Therapy,45,280000,0,0,280000,2026-05-29 04:00:00
111,104,5,Aromatherapy Massage,90,520000,1,200000,720000,2026-09-06 10:30:00
112,105,8,Body Scrub,60,420000,0,0,420000,2026-07-05 10:30:00
113,106,5,Aromatherapy Massage,60,520000,0,200000,520000,2026-06-15 08:00:00
114,107,2,Deep Cleansing Facial,75,480000,0,0,480000,2026-08-14 10:00:00
115,108,7,Head & Shoulder Therapy,45,280000,0,0,280000,2026-06-14 11:30:00
116,109,8,Body Scrub,60,420000,0,0,420000,2026-06-20 05:00:00
117,109,10,Foot Relaxation,60,250000,1,80000,330000,2026-06-20 05:00:00
118,110,2,Deep Cleansing Facial,75,480000,0,0,480000,2026-07-19 04:00:00
119,111,5,Aromatherapy Massage,60,520000,0,200000,520000,2026-07-11 12:30:00
120,112,10,Foot Relaxation,45,250000,0,80000,250000,2026-08-11 11:00:00
121,113,5,Aromatherapy Massage,60,520000,0,200000,520000,2026-07-17 11:30:00
122,114,3,Hydrating Facial,120,520000,2,150000,820000,2026-08-24 11:30:00
123,115,7,Head & Shoulder Therapy,45,280000,0,0,280000,2026-08-09 09:00:00
124,116,1,Facial Basic Care,60,350000,0,120000,350000,2026-08-24 06:00:00
125,117,12,Classic Body Treatment,60,390000,0,0,390000,2026-07-09 10:00:00
126,118,8,Body Scrub,60,420000,0,0,420000,2026-08-23 11:30:00
127,119,9,Body Detox Wrap,75,580000,0,0,580000,2026-07-30 08:30:00
128,120,9,Body Detox Wrap,75,580000,0,0,580000,2026-06-26 13:30:00
129,121,10,Foot Relaxation,75,250000,2,80000,410000,2026-08-17 12:30:00
130,122,5,Aromatherapy Massage,60,520000,0,200000,520000,2026-07-06 07:30:00
131,123,4,Relaxing Body Massage,120,450000,2,180000,810000,2026-08-06 09:00:00
132,124,1,Facial Basic Care,60,350000,0,120000,350000,2026-05-27 12:30:00
133,125,6,Hot Stone Massage,90,650000,0,0,650000,2026-07-01 09:00:00
134,126,7,Head & Shoulder Therapy,45,280000,0,0,280000,2026-09-09 07:00:00
135,127,10,Foot Relaxation,60,250000,1,80000,330000,2026-07-28 04:00:00
136,128,8,Body Scrub,60,420000,0,0,420000,2026-06-05 05:00:00
137,129,8,Body Scrub,60,420000,0,0,420000,2026-09-02 07:00:00
138,129,3,Hydrating Facial,60,520000,0,150000,520000,2026-09-02 07:00:00
139,130,4,Relaxing Body Massage,60,450000,0,180000,450000,2026-07-29 06:00:00
140,131,10,Foot Relaxation,45,250000,0,80000,250000,2026-08-04 07:30:00
141,132,9,Body Detox Wrap,75,580000,0,0,580000,2026-08-31 05:00:00
142,133,8,Body Scrub,60,420000,0,0,420000,2026-08-27 08:30:00
143,134,1,Facial Basic Care,60,350000,0,120000,350000,2026-06-15 05:00:00
144,135,10,Foot Relaxation,60,250000,1,80000,330000,2026-07-04 09:00:00
145,136,8,Body Scrub,60,420000,0,0,420000,2026-07-08 06:00:00
146,136,5,Aromatherapy Massage,60,520000,0,200000,520000,2026-07-08 06:00:00
147,137,7,Head & Shoulder Therapy,45,280000,0,0,280000,2026-05-30 09:30:00
148,138,8,Body Scrub,60,420000,0,0,420000,2026-06-10 09:30:00
149,139,5,Aromatherapy Massage,60,520000,0,200000,520000,2026-06-17 08:00:00
150,140,3,Hydrating Facial,60,520000,0,150000,520000,2026-07-22 09:30:00
151,141,2,Deep Cleansing Facial,75,480000,0,0,480000,2026-08-28 07:00:00
152,142,1,Facial Basic Care,60,350000,0,120000,350000,2026-06-04 05:00:00
153,143,10,Foot Relaxation,45,250000,0,80000,250000,2026-07-12 09:30:00
154,144,5,Aromatherapy Massage,90,520000,1,200000,720000,2026-06-29 09:00:00
155,145,10,Foot Relaxation,45,250000,0,80000,250000,2026-07-18 11:30:00
156,146,8,Body Scrub,60,420000,0,0,420000,2026-08-20 12:30:00
157,146,7,Head & Shoulder Therapy,45,280000,0,0,280000,2026-08-20 12:30:00
158,147,1,Facial Basic Care,60,350000,0,120000,350000,2026-07-04 13:30:00
159,148,8,Body Scrub,60,420000,0,0,420000,2026-08-16 08:00:00
160,149,8,Body Scrub,60,420000,0,0,420000,2026-07-10 15:30:00
161,150,5,Aromatherapy Massage,60,520000,0,200000,520000,2026-06-19 10:30:00
162,151,6,Hot Stone Massage,90,650000,0,0,650000,2026-05-28 09:00:00
163,152,3,Hydrating Facial,120,520000,2,150000,820000,2026-07-12 06:00:00
164,153,7,Head & Shoulder Therapy,45,280000,0,0,280000,2026-07-25 12:30:00
165,154,10,Foot Relaxation,45,250000,0,80000,250000,2026-07-04 07:00:00
166,155,11,Premium Facial Renewal,90,850000,0,0,850000,2026-07-10 11:30:00
167,156,2,Deep Cleansing Facial,75,480000,0,0,480000,2026-05-30 11:00:00
168,157,5,Aromatherapy Massage,90,520000,1,200000,720000,2026-07-22 10:00:00
169,158,1,Facial Basic Care,60,350000,0,120000,350000,2026-07-18 10:00:00
170,159,10,Foot Relaxation,60,250000,1,80000,330000,2026-08-04 04:00:00
171,160,8,Body Scrub,60,420000,0,0,420000,2026-08-05 12:30:00
172,161,1,Facial Basic Care,60,350000,0,120000,350000,2026-06-30 10:30:00
173,162,3,Hydrating Facial,120,520000,2,150000,820000,2026-08-17 08:00:00
174,163,2,Deep Cleansing Facial,75,480000,0,0,480000,2026-07-19 15:30:00
175,164,4,Relaxing Body Massage,90,450000,1,180000,630000,2026-08-13 05:00:00
176,165,10,Foot Relaxation,75,250000,2,80000,410000,2026-08-22 06:00:00
177,166,11,Premium Facial Renewal,90,850000,0,0,850000,2026-08-26 08:30:00
178,167,1,Facial Basic Care,60,350000,0,120000,350000,2026-08-11 09:00:00
179,168,1,Facial Basic Care,90,350000,1,120000,470000,2026-07-23 10:30:00
180,169,4,Relaxing Body Massage,60,450000,0,180000,450000,2026-06-05 10:00:00
181,170,8,Body Scrub,60,420000,0,0,420000,2026-07-25 09:30:00
182,171,5,Aromatherapy Massage,90,520000,1,200000,720000,2026-07-13 13:30:00
183,172,8,Body Scrub,60,420000,0,0,420000,2026-08-18 10:30:00
184,173,10,Foot Relaxation,45,250000,0,80000,250000,2026-08-05 10:30:00
185,174,9,Body Detox Wrap,75,580000,0,0,580000,2026-08-31 12:30:00
186,175,2,Deep Cleansing Facial,75,480000,0,0,480000,2026-08-10 04:00:00
187,176,5,Aromatherapy Massage,90,520000,1,200000,720000,2026-08-01 07:00:00
188,177,8,Body Scrub,60,420000,0,0,420000,2026-07-27 04:00:00
189,178,10,Foot Relaxation,45,250000,0,80000,250000,2026-06-08 09:30:00
190,179,3,Hydrating Facial,60,520000,0,150000,520000,2026-07-09 10:30:00
191,180,5,Aromatherapy Massage,60,520000,0,200000,520000,2026-06-16 13:30:00
192,181,10,Foot Relaxation,45,250000,0,80000,250000,2026-06-11 06:00:00
193,182,5,Aromatherapy Massage,90,520000,1,200000,720000,2026-07-23 11:00:00
194,183,2,Deep Cleansing Facial,75,480000,0,0,480000,2026-08-25 14:30:00
195,184,2,Deep Cleansing Facial,75,480000,0,0,480000,2026-07-10 07:30:00
196,185,10,Foot Relaxation,45,250000,0,80000,250000,2026-08-06 04:00:00
197,186,8,Body Scrub,60,420000,0,0,420000,2026-06-15 12:30:00
198,186,10,Foot Relaxation,45,250000,0,80000,250000,2026-06-15 12:30:00
199,187,3,Hydrating Facial,60,520000,0,150000,520000,2026-05-24 11:30:00
200,188,4,Relaxing Body Massage,60,450000,0,180000,450000,2026-08-05 13:30:00
201,189,8,Body Scrub,60,420000,0,0,420000,2026-06-19 06:00:00
202,190,3,Hydrating Facial,60,520000,0,150000,520000,2026-06-26 11:30:00
203,191,11,Premium Facial Renewal,90,850000,0,0,850000,2026-07-19 07:00:00
204,192,3,Hydrating Facial,90,520000,1,150000,670000,2026-07-14 11:00:00
205,193,10,Foot Relaxation,75,250000,2,80000,410000,2026-08-27 11:30:00
206,194,4,Relaxing Body Massage,60,450000,0,180000,450000,2026-06-10 12:30:00
207,195,5,Aromatherapy Massage,90,520000,1,200000,720000,2026-06-05 12:30:00
208,196,3,Hydrating Facial,60,520000,0,150000,520000,2026-06-12 12:30:00
209,197,1,Facial Basic Care,90,350000,1,120000,470000,2026-08-16 08:30:00
210,198,6,Hot Stone Massage,90,650000,0,0,650000,2026-08-30 11:00:00
211,199,10,Foot Relaxation,45,250000,0,80000,250000,2026-08-09 10:30:00
212,200,1,Facial Basic Care,90,350000,1,120000,470000,2026-08-18 07:00:00
213,201,5,Aromatherapy Massage,60,520000,0,200000,520000,2026-07-24 12:30:00
214,202,1,Facial Basic Care,90,350000,1,120000,470000,2026-08-05 07:00:00
215,203,5,Aromatherapy Massage,60,520000,0,200000,520000,2026-07-15 06:00:00
216,204,9,Body Detox Wrap,75,580000,0,0,580000,2026-08-25 14:30:00
217,205,4,Relaxing Body Massage,60,450000,0,180000,450000,2026-08-15 12:30:00
218,205,3,Hydrating Facial,60,520000,0,150000,520000,2026-08-15 12:30:00
219,206,8,Body Scrub,60,420000,0,0,420000,2026-07-06 05:00:00
220,207,4,Relaxing Body Massage,60,450000,0,180000,450000,2026-08-02 04:00:00
221,208,11,Premium Facial Renewal,90,850000,0,0,850000,2026-07-02 10:00:00
222,209,1,Facial Basic Care,90,350000,1,120000,470000,2026-09-04 12:30:00
223,210,3,Hydrating Facial,90,520000,1,150000,670000,2026-05-28 13:30:00
224,211,3,Hydrating Facial,60,520000,0,150000,520000,2026-08-20 08:00:00
225,212,4,Relaxing Body Massage,120,450000,2,180000,810000,2026-07-19 08:00:00
226,213,8,Body Scrub,60,420000,0,0,420000,2026-07-09 06:00:00
227,214,5,Aromatherapy Massage,60,520000,0,200000,520000,2026-06-21 12:30:00
228,215,4,Relaxing Body Massage,60,450000,0,180000,450000,2026-06-21 10:30:00
229,216,8,Body Scrub,60,420000,0,0,420000,2026-05-27 13:30:00
230,216,7,Head & Shoulder Therapy,45,280000,0,0,280000,2026-05-27 13:30:00
231,217,9,Body Detox Wrap,75,580000,0,0,580000,2026-06-19 05:00:00
232,218,1,Facial Basic Care,90,350000,1,120000,470000,2026-07-11 04:00:00
233,219,2,Deep Cleansing Facial,75,480000,0,0,480000,2026-06-04 10:00:00
234,220,4,Relaxing Body Massage,90,450000,1,180000,630000,2026-09-02 09:00:00
235,221,10,Foot Relaxation,75,250000,2,80000,410000,2026-06-30 06:00:00
236,222,6,Hot Stone Massage,90,650000,0,0,650000,2026-08-05 06:00:00
237,223,1,Facial Basic Care,60,350000,0,120000,350000,2026-07-08 09:00:00
238,224,9,Body Detox Wrap,75,580000,0,0,580000,2026-06-26 13:30:00
239,225,10,Foot Relaxation,45,250000,0,80000,250000,2026-05-16 11:30:00
240,226,8,Body Scrub,60,420000,0,0,420000,2026-08-16 05:00:00
241,227,6,Hot Stone Massage,90,650000,0,0,650000,2026-08-02 05:00:00
242,228,10,Foot Relaxation,60,250000,1,80000,330000,2026-08-25 12:30:00
243,228,3,Hydrating Facial,60,520000,0,150000,520000,2026-08-25 12:30:00
244,229,10,Foot Relaxation,45,250000,0,80000,250000,2026-09-08 06:00:00
245,230,9,Body Detox Wrap,75,580000,0,0,580000,2026-06-01 07:30:00
246,231,5,Aromatherapy Massage,60,520000,0,200000,520000,2026-07-18 12:30:00
247,232,5,Aromatherapy Massage,60,520000,0,200000,520000,2026-07-04 07:30:00
248,233,6,Hot Stone Massage,90,650000,0,0,650000,2026-07-03 06:00:00
249,234,11,Premium Facial Renewal,90,850000,0,0,850000,2026-08-04 09:30:00
250,235,3,Hydrating Facial,90,520000,1,150000,670000,2026-08-24 06:00:00
251,236,3,Hydrating Facial,60,520000,0,150000,520000,2026-08-15 06:00:00
252,237,2,Deep Cleansing Facial,75,480000,0,0,480000,2026-07-04 12:30:00
253,238,7,Head & Shoulder Therapy,45,280000,0,0,280000,2026-08-11 10:30:00
254,239,4,Relaxing Body Massage,60,450000,0,180000,450000,2026-05-30 13:30:00
255,240,1,Facial Basic Care,60,350000,0,120000,350000,2026-08-06 11:30:00
256,241,3,Hydrating Facial,90,520000,1,150000,670000,2026-06-06 06:00:00
257,242,9,Body Detox Wrap,75,580000,0,0,580000,2026-08-23 13:30:00
258,243,9,Body Detox Wrap,75,580000,0,0,580000,2026-07-18 10:00:00
259,244,9,Body Detox Wrap,75,580000,0,0,580000,2026-07-09 13:30:00
260,245,5,Aromatherapy Massage,60,520000,0,200000,520000,2026-07-25 10:00:00
261,246,2,Deep Cleansing Facial,75,480000,0,0,480000,2026-08-06 14:30:00
262,247,10,Foot Relaxation,45,250000,0,80000,250000,2026-07-14 14:30:00
263,248,2,Deep Cleansing Facial,75,480000,0,0,480000,2026-08-08 10:30:00
264,249,7,Head & Shoulder Therapy,45,280000,0,0,280000,2026-06-09 08:00:00
265,250,8,Body Scrub,60,420000,0,0,420000,2026-08-21 13:30:00
266,250,10,Foot Relaxation,45,250000,0,80000,250000,2026-08-21 13:30:00
267,251,7,Head & Shoulder Therapy,45,280000,0,0,280000,2026-06-10 08:00:00
268,251,10,Foot Relaxation,45,250000,0,80000,250000,2026-06-10 08:00:00
269,252,5,Aromatherapy Massage,60,520000,0,200000,520000,2026-08-09 10:00:00
270,253,4,Relaxing Body Massage,60,450000,0,180000,450000,2026-08-02 07:00:00
271,254,7,Head & Shoulder Therapy,45,280000,0,0,280000,2026-07-22 08:30:00
272,255,8,Body Scrub,60,420000,0,0,420000,2026-07-30 11:30:00
273,256,5,Aromatherapy Massage,60,520000,0,200000,520000,2026-07-30 11:30:00
274,257,9,Body Detox Wrap,75,580000,0,0,580000,2026-05-21 13:30:00
275,258,9,Body Detox Wrap,75,580000,0,0,580000,2026-05-31 08:00:00
276,259,6,Hot Stone Massage,90,650000,0,0,650000,2026-08-11 08:30:00
277,260,5,Aromatherapy Massage,120,520000,2,200000,920000,2026-06-11 06:00:00
278,261,3,Hydrating Facial,120,520000,2,150000,820000,2026-06-12 11:00:00
279,262,2,Deep Cleansing Facial,75,480000,0,0,480000,2026-08-04 08:00:00
280,263,8,Body Scrub,60,420000,0,0,420000,2026-08-19 12:30:00
281,263,5,Aromatherapy Massage,60,520000,0,200000,520000,2026-08-19 12:30:00
282,264,10,Foot Relaxation,60,250000,1,80000,330000,2026-06-17 11:30:00
283,264,8,Body Scrub,60,420000,0,0,420000,2026-06-17 11:30:00
284,265,8,Body Scrub,60,420000,0,0,420000,2026-08-07 07:00:00
285,266,1,Facial Basic Care,90,350000,1,120000,470000,2026-05-20 11:00:00
286,267,5,Aromatherapy Massage,90,520000,1,200000,720000,2026-05-29 11:30:00
287,268,5,Aromatherapy Massage,60,520000,0,200000,520000,2026-06-25 13:30:00
288,268,4,Relaxing Body Massage,60,450000,0,180000,450000,2026-06-25 13:30:00
289,269,4,Relaxing Body Massage,90,450000,1,180000,630000,2026-07-06 12:30:00
290,270,7,Head & Shoulder Therapy,45,280000,0,0,280000,2026-08-08 10:30:00
291,271,5,Aromatherapy Massage,90,520000,1,200000,720000,2026-05-23 14:30:00
292,272,3,Hydrating Facial,60,520000,0,150000,520000,2026-07-05 07:00:00
293,272,5,Aromatherapy Massage,60,520000,0,200000,520000,2026-07-05 07:00:00
294,273,1,Facial Basic Care,90,350000,1,120000,470000,2026-08-03 08:00:00
295,274,8,Body Scrub,60,420000,0,0,420000,2026-07-24 09:00:00
296,274,7,Head & Shoulder Therapy,45,280000,0,0,280000,2026-07-24 09:00:00
297,275,3,Hydrating Facial,60,520000,0,150000,520000,2026-06-19 10:30:00
298,276,7,Head & Shoulder Therapy,45,280000,0,0,280000,2026-08-09 07:00:00
299,277,10,Foot Relaxation,60,250000,1,80000,330000,2026-07-21 11:00:00
300,278,7,Head & Shoulder Therapy,45,280000,0,0,280000,2026-07-17 04:00:00
301,279,10,Foot Relaxation,45,250000,0,80000,250000,2026-08-04 07:30:00
302,279,3,Hydrating Facial,60,520000,0,150000,520000,2026-08-04 07:30:00
303,280,3,Hydrating Facial,120,520000,2,150000,820000,2026-06-04 13:30:00
304,281,10,Foot Relaxation,45,250000,0,80000,250000,2026-06-10 09:30:00
305,281,2,Deep Cleansing Facial,75,480000,0,0,480000,2026-06-10 09:30:00
306,282,3,Hydrating Facial,120,520000,2,150000,820000,2026-06-07 08:00:00
307,283,10,Foot Relaxation,45,250000,0,80000,250000,2026-08-23 11:30:00
308,284,1,Facial Basic Care,60,350000,0,120000,350000,2026-08-09 10:30:00
309,285,10,Foot Relaxation,45,250000,0,80000,250000,2026-07-14 11:00:00
310,286,10,Foot Relaxation,45,250000,0,80000,250000,2026-08-18 10:00:00
311,286,3,Hydrating Facial,60,520000,0,150000,520000,2026-08-18 10:00:00
312,287,11,Premium Facial Renewal,90,850000,0,0,850000,2026-08-19 12:30:00
313,288,3,Hydrating Facial,120,520000,2,150000,820000,2026-07-01 12:30:00
314,289,11,Premium Facial Renewal,90,850000,0,0,850000,2026-05-28 09:00:00
315,290,3,Hydrating Facial,60,520000,0,150000,520000,2026-07-25 10:00:00
316,291,5,Aromatherapy Massage,120,520000,2,200000,920000,2026-07-04 07:00:00
317,292,10,Foot Relaxation,75,250000,2,80000,410000,2026-06-26 13:30:00
318,293,2,Deep Cleansing Facial,75,480000,0,0,480000,2026-06-06 03:00:00
319,294,1,Facial Basic Care,60,350000,0,120000,350000,2026-08-12 11:00:00
320,295,4,Relaxing Body Massage,90,450000,1,180000,630000,2026-05-31 13:30:00
321,296,3,Hydrating Facial,60,520000,0,150000,520000,2026-06-21 11:30:00
322,297,4,Relaxing Body Massage,90,450000,1,180000,630000,2026-07-26 08:00:00
323,298,10,Foot Relaxation,45,250000,0,80000,250000,2026-06-01 09:30:00
324,299,2,Deep Cleansing Facial,75,480000,0,0,480000,2026-07-27 09:00:00
325,300,9,Body Detox Wrap,75,580000,0,0,580000,2026-06-11 15:30:00
326,301,6,Hot Stone Massage,90,650000,0,0,650000,2026-09-15 14:00:00
327,302,5,Aromatherapy Massage,60,520000,0,200000,520000,2026-09-14 10:00:00
328,303,8,Body Scrub,60,420000,0,0,420000,2026-09-15 09:00:00
329,304,8,Body Scrub,60,420000,0,0,420000,2026-09-07 08:00:00
330,305,11,Premium Facial Renewal,90,850000,0,0,850000,2026-09-14 13:00:00
331,306,8,Body Scrub,60,420000,0,0,420000,2026-09-14 13:00:00
332,307,11,Premium Facial Renewal,90,850000,0,0,850000,2026-09-05 14:00:00
333,308,10,Foot Relaxation,45,250000,0,80000,250000,2026-09-10 05:00:00
334,309,7,Head & Shoulder Therapy,45,280000,0,0,280000,2026-09-14 05:00:00
